public_filename	dataset	public_class_label	original_clip_id	title	creator	source_url	license_name	changes
ESC-50_1-18631-A-23_0.441_1.509_sr16000.wav	ESC-50	Breathing	1-18631-A.ogg	female deep breathing.aif	Walter_Odington	http://www.freesound.org/people/Walter_Odington/sounds/18631/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-18631-A-23_1.776_2.032_sr16000.wav	ESC-50	Breathing	1-18631-A.ogg	female deep breathing.aif	Walter_Odington	http://www.freesound.org/people/Walter_Odington/sounds/18631/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-18631-A-23_2.183_2.624_sr16000.wav	ESC-50	Breathing	1-18631-A.ogg	female deep breathing.aif	Walter_Odington	http://www.freesound.org/people/Walter_Odington/sounds/18631/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-18631-A-23_2.961_3.680_sr16000.wav	ESC-50	Breathing	1-18631-A.ogg	female deep breathing.aif	Walter_Odington	http://www.freesound.org/people/Walter_Odington/sounds/18631/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-18631-A-23_3.889_4.992_sr16000.wav	ESC-50	Breathing	1-18631-A.ogg	female deep breathing.aif	Walter_Odington	http://www.freesound.org/people/Walter_Odington/sounds/18631/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-30709-A-23_0.023_5.000_sr16000.wav	ESC-50	Breathing	1-30709-A.ogg	breath.wav	UncleSigmund	http://www.freesound.org/people/UncleSigmund/sounds/30709/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-30709-B-23_0.104_5.000_sr16000.wav	ESC-50	Breathing	1-30709-B.ogg	breath.wav	UncleSigmund	http://www.freesound.org/people/UncleSigmund/sounds/30709/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-30709-C-23_0.000_5.000_sr16000.wav	ESC-50	Breathing	1-30709-C.ogg	breath.wav	UncleSigmund	http://www.freesound.org/people/UncleSigmund/sounds/30709/	CC0	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-36393-A-23_0.499_1.103_sr16000.wav	ESC-50	Breathing	1-36393-A.ogg	breaths_solo1.aif	thanvannispen	http://www.freesound.org/people/thanvannispen/sounds/36393/	CC-BY	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-36397-A-23_0.000_2.194_sr16000.wav	ESC-50	Breathing	1-36397-A.ogg	breaths_solo4.aif	thanvannispen	http://www.freesound.org/people/thanvannispen/sounds/36397/	CC-BY	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-36400-A-23_0.163_0.998_sr16000.wav	ESC-50	Breathing	1-36400-A.ogg	breaths_solo7.aif	thanvannispen	http://www.freesound.org/people/thanvannispen/sounds/36400/	CC-BY	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
ESC-50_1-36402-A-23_0.186_1.231_sr16000.wav	ESC-50	Breathing	1-36402-A.ogg	breaths_solo9.aif	thanvannispen	http://www.freesound.org/people/thanvannispen/sounds/36402/	CC-BY	cropped/segmented from ESC-50 source audio; resampled to 16 kHz; used as source material for synthetic soundscape generation
